Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Sites;738;0,44;1,672496608;8,904015449;5,14873;301,732;1720,02;86,95595135;17,31583333;8564,92;437,0824342;2;1,198953869;4,20434;3,28203;0,922382;1,28984
Sites;746;1,34;4,189391843;7,163707199;2,98902;164,245;1474,4;78,16097762;12,47433333;8212,54;419,9123933;8;1,817578882;4,66248;3,73721;0,925277;1,2231
Sites;740;1,12;3,379993951;12,46925759;4,49894;305,778;1489,52;76,96742712;10,36633333;8652,96;440,05879;5;0,939446918;4,04894;3,12569;0,923331;1,2738
Sites;743;-0,73;7,442993834;17,46717645;5,01787;245,074;1423,15;74,49397498;13,434;8752,42;444,8698337;4;0,608024735;4,59896;3,67547;0,923425;1,27235
Sites;738;-2,04;1,869733012;9,731335689;7,78308;106,998;1191,92;62,88891905;12,247;8678,76;441,2999387;3;2,308953585;4,58224;3,66285;0,919388;1,15961
Sites;752;1,89;20,2923276;31,66617066;3,86671;154,526;1381,58;72,98084692;22,27183333;8939,2;454,0837293;10;3,268016482;4,75351;3,82801;0,925505;1,28236
Sites;734;-1,34;-5,667407886;-3,958240607;4,08397;129,8;1374,33;73,0801011;7,843666667;8164,83;416,0138092;6;0,814176758;4,63354;3,71077;0,922779;1,07535
Sites;737;-0,73;-2,488477091;-1,295927741;9,59491;77,9173;1382,11;74,55688913;13,364;8051,51;410,0473107;6;1,122067899;4,20903;3,29135;0,917636;1,11016
Sites;736;-1,94;-2,406746626;-1,504478719;9,77278;94,9934;1384,05;73,96973847;15,74433333;7993,72;407,280146;5;0,739094973;4,44548;3,52692;0,918558;1,04826
Sites;742;1,35;2,973342025;3,464810402;9,81126;61,9343;1384,15;75,05861415;20,0125;7914,05;403,944683;7;1,117690603;3,95309;3,03471;0,918314;1,12063
Sites;728;-0,6;-8,767253967;-9,888444468;1,95877;97,1573;1247,73;67,9777614;10,25083333;8103,32;413,1500905;4;4,074999433;4,46454;3,54202;0,922583;1,10445
Sites;730;-1,06;-8,307735092;-7,899661067;2,045;106,123;1323,12;72,18738578;9,091833333;8115,38;413,2240758;5;2,994997678;4,45847;3,53544;0,922939;1,08867
Sites;742;3,56;9,012286656;9,83124107;7,42881;312,522;1062,25;58,96746985;11,14083333;7853,97;401,6899378;12;3,322594628;4,01092;3,09005;0,920875;1,2575
Sites;720;0,94;3,27182914;-0,53147985;6,89408;165,573;570,749;32,31024372;17,76983333;8373,1;423,504847;6;6,050773145;4,92668;4,00833;0,918367;1,03205
