Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Sites;656;1;-11;-20;18;250;1352;4489;338;692;2224;9;261;5;4;1;1
Sites;680;-3;-26;-44;21;252;85;444;1527;1644;5479;2;596;5;4;1;1
Sites;745;0;14;26;14;232;654;2226;1116;717;2692;12;379;5;4;1;1
Sites;593;6;6;-15;15;116;34;202;785;916;3133;29;69;5;4;1;1
Sites;765;1;24;29;6;227;436;1919;634;1573;5246;12;69;5;4;1;1
Sites;723;8;8;-7;25;255;159;897;1333;1674;5736;23;424;5;4;1;1
Sites;671;1;7;-3;4;261;1187;4110;445;1610;5250;15;49;5;4;1;1
Sites;712;1;3;7;7;314;1147;4005;2543;2371;7533;25;52;4;3;1;1
Sites;715;2;3;7;4;205;1135;3985;2642;2335;7437;14;57;5;4;1;1
Sites;738;0;9;23;6;331;1116;3853;284;364;994;17;15;4;3;1;1
Sites;745;2;16;32;11;295;1195;4088;296;476;1318;30;73;4;3;1;1
Sites;750;0;20;39;17;262;1111;3996;873;451;1454;45;115;4;4;1;1
Sites;707;-4;-10;-11;7;320;575;1899;352;71;200;5;32;4;3;1;1
Sites;739;0;6;18;6;175;1126;3667;570;547;1618;11;50;5;4;1;1
Sites;731;1;7;14;8;174;1503;4751;987;739;2120;16;112;5;4;1;1
Sites;734;-1;5;18;5;324;1246;4188;161;498;1354;16;29;4;3;1;1
Sites;756;3;34;51;3;148;732;2863;1393;0;0;55;113;5;4;1;1
Sites;711;2;-5;-5;5;101;521;1870;1193;99;313;4;120;4;4;1;1
Sites;697;-2;-25;-17;2;280;653;2263;825;0;0;4;209;4;3;1;1
Sites;714;-2;-12;-3;13;323;1016;3381;271;109;310;11;40;4;3;1;1
Sites;482;7;23;27;12;243;492;1718;604;18;84;75;396;5;4;1;1
Sites;495;7;7;2;13;193;70;424;558;535;1550;28;468;5;4;1;1
Sites;665;-2;3;-7;7;207;1229;4219;493;1572;5106;8;76;5;4;1;1
Sites;641;5;-2;-28;23;72;433;2013;1318;2716;8661;3;163;4;3;1;1
Sites;561;8;22;19;19;240;1783;5966;780;1811;5850;37;396;5;4;1;1
Sites;755;2;33;50;4;152;722;2827;1425;0;0;52;128;5;4;1;1
Sites;507;7;-15;-32;25;225;64;415;1090;2976;9152;7;248;5;4;1;1
Sites;451;-1;-6;-11;0;11;300;1064;6;0;0;33;248;4;3;1;1
Sites;453;0;-1;-11;2;259;174;617;149;0;0;40;65;4;3;1;1
Sites;483;-1;0;0;4;123;770;2534;216;170;544;29;347;4;4;1;1
Sites;657;7;4;-14;17;127;1199;3853;642;599;2053;13;190;5;4;1;1
Sites;613;0;-21;-40;5;223;288;1085;538;0;0;0;246;5;4;1;1
Sites;611;-4;-24;-43;7;121;310;1158;731;0;0;0;272;5;4;1;1
Sites;608;-2;-18;-37;3;272;92;452;644;0;0;3;201;4;3;1;1
Random sites;551;1;13;24;7;149;659;2353;1825;2205;6666;17;53;5;4;1;1
Random sites;550;0;-1;2;6;224;1175;4240;238;651;2101;53;126;5;4;1;1
Random sites;586;9;-10;-11;14;99;1198;4575;1410;381;1416;5;106;3;2;1;1
Random sites;557;6;-8;-16;27;13;921;3493;1178;1926;6075;16;94;2;1;1;1
Random sites;422;1;2;-6;2;113;165;697;246;3274;9441;16;282;4;4;1;1
Random sites;517;1;21;34;11;192;1457;5083;5112;1842;5446;21;113;5;4;1;1
Random sites;553;-1;-2;6;8;94;1134;3704;470;862;2653;19;49;4;3;1;1
Random sites;485;-1;-7;-8;8;236;527;1958;1369;303;977;65;1071;5;4;1;1
Random sites;480;0;-4;-4;5;191;316;1152;369;772;2661;5;108;5;4;1;1
Random sites;441;-1;-5;-7;2;28;511;1764;162;712;2439;20;164;4;3;1;1
Random sites;710;1;14;12;1;254;595;2041;210;2376;7612;22;66;4;4;1;1
Random sites;535;-1;5;14;2;225;402;1915;1028;1915;5684;11;72;4;4;1;1
Random sites;444;0;-16;-21;0;92;72;436;158;0;0;6;402;4;3;1;1
Random sites;527;2;-1;-19;4;114;136;552;482;348;954;22;55;4;4;1;1
Random sites;536;3;31;42;9;157;696;2531;1239;1143;3887;66;363;5;4;1;1
Random sites;527;3;0;-2;12;242;1483;4995;788;0;0;18;248;5;4;1;1
Random sites;496;0;5;12;4;29;835;2896;440;96;252;54;37;4;3;1;1
Random sites;709;2;40;58;9;269;1513;5883;2970;798;2585;28;250;4;3;1;1
Random sites;571;-2;31;56;10;141;1265;4268;234;2930;8943;14;241;5;4;1;1
Random sites;428;0;-6;-18;1;251;147;526;425;24;14;18;694;4;3;1;1
Random sites;261;-6;-48;-84;2;274;14;196;392;2198;7064;3;1421;4;4;1;1
Random sites;866;1;-24;-40;15;303;1820;6268;2843;4196;13592;5;181;4;3;1;1
Random sites;613;-2;14;22;6;298;948;4240;1733;1525;4673;10;699;4;3;1;1
Random sites;500;2;-3;20;23;351;966;4122;1213;2932;8824;26;65;2;1;1;1
Random sites;641;3;3;-20;5;124;114;617;677;1177;3571;15;67;4;3;1;1
Random sites;487;0;5;0;4;40;476;1493;310;124;404;30;46;4;3;1;1
Random sites;442;2;-9;-23;14;67;761;2291;939;799;2627;8;39;4;3;1;1
Random sites;712;-1;10;37;8;221;2101;7081;3943;0;0;24;30;5;4;1;1
Random sites;649;2;-9;-31;12;207;433;1612;820;946;3225;11;190;5;4;1;1
Random sites;478;-1;-1;5;2;161;1434;4289;355;4861;14431;13;258;4;4;1;1
Random sites;445;1;-1;-8;3;128;118;515;637;3929;12603;6;523;4;4;1;1
Random sites;576;-10;-47;-111;26;130;118;720;1941;2629;8998;4;99;2;1;1;1
Random sites;355;-5;5;-4;8;95;261;1293;502;2627;7441;12;207;4;4;1;1
Random sites;490;4;-11;-35;16;198;75;386;1547;1400;3750;5;229;5;5;1;1
