Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Sites;656;1,364021173;-11,0248655;-19,89431896;18,1453;249,513;1351,69;74,81017665;5,6385;692,397;37,06843332;9;4,354972052;4,59916;3,71669;0,882468;0,868967
Sites;680;-3,081060184;-25,96686561;-44,14579488;20,6529;252,189;85,2859;7,402185818;25,4555;1643,97;91,31376738;2;9,94052528;4,66763;3,78153;0,886108;0,932434
Sites;745;-0,213948069;13,51981921;25,69891564;13,5459;231,94;653,929;37,09174747;18,602;717,165;44,86182408;12;6,318481378;5,01043;4,09848;0,911987;1,06862
Sites;593;6,418803192;5,578985197;-15,13996463;15,4557;115,829;34,4245;3,35841407;13,0755;915,678;52,2156438;29;1,149522456;4,54595;3,66345;0,882522;0,800353
Sites;765;1,107158917;24,22099198;29,41669865;5,5779;226,958;435,534;31,98673827;10,5585;1572,87;87,43407955;12;1,142293021;4,70802;3,78141;0,926617;1,13348
Sites;723;8,357600544;7,80856967;-7,369191412;25,0746;255,201;158,573;14,94599886;22,22383333;1673,75;95,59511395;23;7,072697535;4,5911;3,71587;0,875203;1,11697
Sites;671;1,450998023;7,444349165;-2,762527204;3,57763;261,418;1186,95;68,50782367;7,4145;1609,81;87,49408983;15;0,820874805;4,55652;3,64451;0,912007;1,03039
Sites;712;0,989511957;2,842424586;7,090008279;6,82961;313,624;1147,11;66,7485905;42,38;2370,55;125,5512214;25;0,864861907;3,78347;2,86725;0,91622;0,976526
Sites;715;1,509003029;2,95584127;7,219174474;3,70554;205,316;1134,97;66,41096742;44,03933333;2335,33;123,942304;14;0,95171634;4,62476;3,70587;0,918885;0,942715
Sites;738;0,119376518;8,914353379;23,04169543;5,7547;330,939;1115,73;64,21562633;4,741;363,733;16,56553829;17;0,255879885;3,89004;2,96865;0,921385;1,18071
Sites;745;1,905358884;16,11169776;31,53868547;10,8551;294,58;1195,46;68,13448967;4,939333333;475,871;21,97485647;30;1,209124326;3,98531;3,07204;0,913265;1,2058
Sites;750;-0,197990862;20,31512823;39,27249168;17,2467;261,922;1111,11;66,60697087;14,546;451,329;24,23569115;45;1,91397443;4,43929;3,53588;0,903416;1,22458
Sites;707;-3,685285062;-9,662686536;-10,61769392;7,41363;320,312;575,341;31,65079035;5,8625;70,9851;3,336848152;5;0,536557943;3,74655;2,83174;0,914807;0,964126
Sites;739;-0,166709781;5,685700376;18,33724034;6,45891;175,296;1126,38;61,12281725;9,494833333;546,61;26,97123385;11;0,827349419;4,91935;3,99784;0,921542;0,958118
Sites;731;1,410472177;6,708081731;14,25685034;8,20484;174,342;1503,29;79,18234012;16,44616667;738,789;35,33370118;16;1,867184402;4,9637;4,04422;0,919508;0,969868
Sites;734;-0,628144473;5,140727341;18,2607656;5,40422;323,657;1246,47;69,80565632;2,684333333;497,978;22,56738842;16;0,483134518;4,06462;3,14274;0,921884;1,14006
Sites;756;2,676707951;33,88753399;50,63715481;2,60902;147,706;731,605;47,72265867;23,21116667;0;0;55;1,889485578;4,58246;3,65541;0,927029;1,18795
Sites;711;2,332443641;-5,155263818;-4,688132764;5,28016;100,827;520,59;31,16103095;19,88333333;99,3227;5,21708932;4;2,00056915;4,43865;3,52052;0,918122;0,87698
Sites;697;-2,340914625;-25,48269598;-16,65804038;2,29212;279,725;652,76;37,7192412;13,75133333;0;0;4;3,479405152;4,37974;3,46239;0,917357;0,891547
Sites;714;-1,756601187;-11,73626859;-2,972620493;13,021;322,78;1015,96;56,3553816;4,510166667;108,925;5,160591003;11;0,674576519;3,51184;2,6042;0,907644;1,10716
Sites;482;6,78850522;23,27330196;26,67253593;11,6572;242,879;492,136;28,62612302;10,07183333;17,9241;1,39914052;75;6,595838608;4,69924;3,82864;0,870601;1,18871
Sites;495;7,11511448;6,736848642;2,34104886;12,8745;192,524;69,5717;7,06296775;9,293666667;535,055;25,82535743;28;7,796501648;5,09547;4,21908;0,876337;1,01516
Sites;665;-1,859431944;3,292099916;-7,374478147;7,03575;206,994;1229,23;70,31270582;8,219833333;1571,97;85,10507573;8;1,26232407;4,82732;3,91756;0,909759;0,948436
