Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Random sites;581;0,312780171;1,90136002;-4,926582311;4,49929;22,8185;230,514;15,06441639;12,1439492;2864,41;137,5999912;10;0,987015731;4,080006978;3,181867577;0,898139401;0,874798811
Random sites;492;-2,565711214;-7,395624336;-5,386947268;12,5064;45,7721;460,5;31,56073017;37,42994058;12569,7;632,2417963;12;1,620209599;3,610650439;2,735562912;0,875035634;1,144914867
Random sites;698;-5,40409585;-17,67245865;-15,89865179;4,81185;331,932;1418,3;77,82847658;26,70954227;6614,41;338,4071848;0;2,642842887;4,073289041;3,15872781;0,914478919;1,04259851
Random sites;618;0,016796078;8,057511387;24,58604337;3,2066;109,797;1409,25;77,51295475;7,168017565;256,524;11,96203303;8;1,228842195;4,470865954;3,566521238;0,904344716;0,964080855
Random sites;363;-2,17476322;-19,00785876;-29,79491215;6,39219;208,919;779,354;40,10433675;7,335908012;2357,64;109,0595484;2;1,48351616;4,715402587;3,851699821;0,863702766;0,828160736
Random sites;526;-0,191863471;0,485553408;-5,110187904;1,74138;270,351;256,531;15,61476434;5,721252053;11115,9;542,8933053;22;0,720440627;4,366383569;3,475405149;0,890880209;1,143368313
Random sites;538;0,369298916;8,845146586;21,60227388;5,00835;225,561;673,102;40,41297403;14,99650597;11652,1;586,5510842;32;0,792353212;4,642105254;3,75075826;0,891360729;1,201936252
Random sites;598;0,221338794;4,757620572;15,34263073;2,52962;150,113;914,051;50,93254882;1,607177214;1878,87;95,28138018;41;0,908827014;4,567689911;3,666057991;0,901631919;0,828243361
Random sites;583;-1,918133505;2,137434889;10,09587056;5,90207;308,456;700,868;38,9482496;9,966760113;11333,9;563,3897342;10;2,927720042;4,031056931;3,133883107;0,897195133;1,24338944
Random sites;562;2,686354831;4,73657385;-0,361702652;17,3439;228,471;169,371;12,17532565;9,28238776;11474,1;563,5619475;14;3,168331765;5,097212817;4,221494959;0,875728688;1,169751587
Random sites;436;3,016455005;-0,461770883;-15,49054701;7,61663;106,62;97,2645;6,90193491;7,20123158;5154,38;243,8791955;20;0,836217788;4,563832978;3,690535798;0,87329718;0,811393388
Random sites;637;0,02401349;7,842401498;7,42301748;5,74454;261,766;759,56;45,48875003;22,8588385;7712,66;391,6399157;21;0,93524944;4,443587952;3,537390791;0,906204445;1,281011097
Random sites;542;0,291200389;-0,069040208;-14,34522569;7,40735;190,526;1732,69;92,44814143;35,16415102;4960,05;254,0842498;9;1,38484972;4,95504447;4,066422613;0,888617736;0,960542497
Random sites;329;1,217140997;4,038184045;8,527927922;8,70452;187,336;794,264;45,3160014;62,49872287;6220,16;294,3041552;12;1,228186276;4,939114842;4,082905762;0,856250381;0,950131555
Random sites;423;3,231060671;12,51992633;7,448792451;4,23517;112,976;941,852;49,33007992;15,96043626;1853,7;90,58354948;16;2,377900242;4,511058884;3,637664687;0,873394197;1,086976745
Random sites;432;0,116448353;-5,184701231;-18,6799581;6,29969;145,636;314,872;18,85896377;11,30864522;5801,21;276,765156;24;3,810341677;4,754409226;3,880501853;0,873907373;0,786553709
Random sites;459;0,000120679;3,512728248;6,914744923;3,48143;264,119;849,917;46,06340475;13,23722306;4963,94;251,0452285;41;0,665147367;4,398319806;3,518413219;0,879906587;1,109467747
Random sites;560;1,116506388;4,583831926;17,94805946;8,16128;206,225;1421,33;74,90678553;14,33430958;12366,2;610,0904787;19;0,931943831;4,924224606;4,03271711;0,891495418;1,220617603
Random sites;436;-1,65626212;-1,127891449;-12,45846543;13,9454;273,454;102,234;6,927001898;5,068668565;4608,26;225,7200812;10;0,181344295;4,100485647;3,23729905;0,863269096;0,954052248
Random sites;479;1,271735473;13,57616676;3,375436227;10,5818;147,829;324,538;19,01706593;25,3901571;3435,04;176,4460532;26;3,58600513;5,017887496;4,142523783;0,875323241;0,869419844
