Type;ALTm;TPI100m;TPI500m;TPI1000m;SLOm;ASPm;HYDROEm;HYDROCm;WETm;GEOLEm;GEOLCm;VISPRm;LCPCm;TOTINSm;DIRINSm;DIFINSm;WINDm
Random sites;551;0,948070457;12,6108563;23,53662892;6,5955;148,73;658,938;39,2156506;30,41201037;2205,37;111,106708;17;0,879486224;4,814795438;3,92331168;0,891500663;1,170336273
Random sites;550;0,492023217;-1,134288155;2,209276086;6,04077;223,697;1175,22;70,6690457;3,963716827;650,617;35,01791698;53;2,101444553;4,704346214;3,812201803;0,892144411;1,049514602
Random sites;586;9,404886753;-10,09975316;-10,92283544;13,7432;98,6173;1197,52;76,25102848;23,50158413;381,16;23,59779953;5;1,758400105;3,32835854;2,440618918;0,887739622;1,169332556
Random sites;557;6,481663378;-8,09287624;-15,72668151;27,0961;13,0051;920,835;58,2212886;19,63264595;1926,12;101,2449706;16;1,574088271;1,862436595;1,015611497;0,846825098;1,259223211
Random sites;422;1,45355459;2,468322923;-6,015509475;2,28271;112,532;165,244;11,62336339;4,103820158;3273,92;157,349679;16;4,701233478;4,382510091;3,507671746;0,874803008;0,834308068
Random sites;517;0,82962701;21,29370797;33,91178798;11,4175;192,191;1456,69;84,72255367;85,19212885;1841,74;90,76308357;21;1,886730813;5,169931063;4,289273855;0,880649813;0,803921029
Random sites;553;-1,048121042;-1,521487274;5,680480863;7,53466;93,7726;1134,46;61,7405298;7,826664003;861,612;44,22024922;19;0,819603848;4,324678926;3,433443284;0,891307192;1,079141252
Random sites;485;-0,748544184;-7,294314112;-8,417649889;7,84558;235,895;526,684;32,62676403;22,81300922;302,884;16,28369325;65;17,85657178;4,659186518;3,778722583;0,880526108;0,86835496
Random sites;480;-0,448338536;-4,241509749;-3,613200467;4,66021;190,963;315,774;19,19661417;6,153625653;772,022;44,34392032;5;1,797873352;4,649102721;3,766229871;0,882874389;0,837717542
Random sites;441;-0,604751748;-5,463169513;-7,303615812;1,8573;27,7445;511,36;29,4070342;2,69712219;712,423;40,64404417;20;2,734213247;4,199727875;3,321936785;0,87779109;0,843458088
Random sites;710;0,557192924;13,76097282;12,13387501;0,966886;253,726;595,118;34,02359483;3,499186972;2376,45;126,8732067;22;1,101727007;4,476107027;3,556315438;0,919791589;1,099296644
Random sites;535;-1,198332893;5,447961304;14,36170704;1,56689;225,397;401,577;31,90939582;17,13795558;1914,75;94,73705632;11;1,2057521;4,492678442;3,600940815;0,891737627;1,112292209
Random sites;444;-0,295032942;-15,53614416;-20,82647802;0,215609;92,0222;71,7616;7,272606003;2,6273903;0;0;6;6,692688008;4,34308093;3,46458443;0,878496499;0,829438506
Random sites;527;1,786279278;-1,224315939;-19,42406341;4,15044;114,064;136,478;9,200745713;8,040682507;347,571;15,90694117;22;0,912368305;4,474762492;3,585085625;0,889676867;0,812632752
Random sites;536;2,842061836;31,3684952;41,65634052;9,08309;157,399;695,532;42,1841664;20,6467121;1143,43;64,77724042;66;6,04926409;4,955502627;4,068324581;0,887185002;1,112991221
Random sites;527;2,536282422;-0,083197096;-2,091134745;11,9807;242,055;1482,93;83,24219912;13,12526246;0;0;18;4,129694028;4,699517293;3,818247205;0,881302091;1,121141391
Random sites;496;0,302159224;4,689054746;12,44613326;4,15674;29,175;835,346;48,26099677;7,331645325;96,3076;4,200543127;54;0,617321425;4,071872085;3,186628388;0,885243696;0,937340296
Random sites;709;2,18181294;39,96262188;57,96173626;8,55814;269,47;1513,48;98,04823768;49,4982529;797,618;43,08843627;28;4,1590597;4,303129954;3,389001025;0,914142435;1,2997226
Random sites;571;-2,108132403;31,46563724;55,93970566;9,76392;140,587;1265,17;71,13711895;3,892183195;2930,11;149,0532372;14;4,011724553;4,924062014;4,034432614;0,889691621;1,215862088
Random sites;428;-0,128441257;-6,125126425;-17,75982925;0,941152;251,019;146,865;8,767947892;7,090892068;23,6852;0,226768933;18;11,56484441;4,335269408;3,459243182;0,876108818;0,952315992
Random sites;261;-6,121698714;-47,894564;-83,62039853;2,07507;274,245;13,9442;3,27251895;6,538581982;2198,45;117,7396295;3;23,67629805;4,349617163;3,498297504;0,851319659;0,773892002
Random sites;866;0,957255949;-24,45216541;-39,63289578;15,0282;303,235;1820,41;104,4641163;47,38876587;4195,53;226,5333572;5;3,023425852;3,710383959;2,780384036;0,930042963;1,308151005
Random sites;613;-1,580939203;14,30380367;21,81681321;6,35348;297,699;948,244;70,6701426;28,88839218;1525,08;77,8891214;10;11,65561945;4,105447826;3,204008699;0,901439128;1,214054019
Random sites;500;2,484676715;-2,956638681;20,26533312;23,1259;351,368;965,834;68,70571712;20,21620908;2931,99;147,0715103;26;1,081205363;2,311420113;1,456266739;0,855096299;1,31027455
Random sites;641;2,542470502;2,515647395;-20,18927335;5,47517;124,323;113,777;10,28170839;11,287415;1177,07;59,52075392;15;1,11386596;4,402975121;3,494959174;0,908057294;0,970255366
Random sites;487;0,366248883;5,275553605;0,430965779;4,40339;39,7755;476,194;24,87632975;5,172870393;124,004;6,738145533;30;0,773649518;4,074819052;3,190889627;0,883920157;0,951644442
Random sites;442;1,982624697;-8,56834693;-22,78155218;14,3212;67,2499;761,251;38,18364587;15,64515363;798,896;43,78763802;8;0,650319674;3,843051935;2,97785007;0,865212593;0,846502437
Random sites;712;-0,966316371;9,827890624;37,07609906;7,93003;220,997;2100,81;118,0095786;65,71116358;0;0;24;0,500027987;4,821213792;3,904823173;0,916386904;1,09927337
Random sites;649;2,035808572;-8,520763779;-31,3504593;11,51;207,181;432,809;26,86052387;13,67365213;945,872;53,75729667;11;3,15922572;5,131557684;4,231078551;0,900468651;0,971051091
Random sites;478;-0,76164206;-1,186374564;5,148320162;1,62783;161,488;1434,18;71,48198218;5,909200522;4861,38;240,5221312;13;4,30820865;4,491435296;3,608080522;0,883354775;0,937233384
Random sites;445;0,824754589;-1,230858405;-8,113510283;2,8183;127,941;118,319;8,581894303;10,61441775;3929,03;210,0455005;6;8,712522642;4,485550702;3,607272426;0,878243702;0,864340809
Random sites;576;-9,555807004;-47,0284684;-111,2892923;25,7775;130,462;118,018;12,0020238;32,3510547;2628,95;149,9656974;4;1,644084485;2,059134231;1,210444032;0,848690199;1,04610451
Random sites;355;-4,603408471;4,735609443;-3,743104068;7,73211;94,6036;260,973;21,54534613;8,370026005;2626,61;124,0209985;12;3,45653365;4,433758501;3,573142349;0,860616152;0,791565943
Random sites;490;4,165396779;-10,79787694;-35,3797368;16,3097;197,735;75,1881;6,434858032;25,790589;1400,04;62,49893545;5;3,822181675;5,401095621;4,533684964;0,867310657;0,883977518
