N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTm;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
1;67.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;582784,9231;4762655,438;745;745;5,38;5,03;5,76;5,52;5,76;5,52;0,998659517;1,142638037;5,49363;4,26362;21,41230068;15,69343066;0,713337757;2,949061662;7,953110309;297,897;178,272;1665,27;1664,54;100,9123265;100,8817655;87,55048508;17,90266667;17,48283333;30,78179118;8037,45;8031,75;410,7197382;410,192103;62,0438993;0;2329,606674;168,481561;0;76,3969402;77,71006016;67;68;7,456594263;7,836936547;4,2375;4,21944;3,3146;3,29566;0,9229;0,923776;1,3161;1,31325
2;68.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;583508,7267;4760795,532;699;698;-4,62;-3,56;-4,69;-3,77;-4,69;-3,77;0,961485557;1,080370943;5,41934;5,83306;15,81027668;13,3105802;13,3105802;0,138696255;10,1891583;108,435;112,183;1422,15;1411,89;77,38095738;77,5433307;2,54310108;16,93316667;17,2715;2,050167113;7324,49;7319,33;364,9961955;364,528726;0;0;2349,232013;129,3222808;0;680,0130735;351,3239043;20;21;1,408356667;1,463052673;4,4994;4,55943;3,5828;3,64338;0,9166;0,916094;1,0215;1,02268
3;69.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;585311,1568;4759055,493;474;474;-1,8;-1,78;-1,76;-2,02;-1,76;-2,02;0,913294798;1,008510638;0,572939;0,844907;8,89292196;9,497206704;9,497206704;0,204498978;11,57346483;180;164,72;35,3553;33,2473;7,591638123;6,391534945;10,00047719;6,812666667;7,392166667;0,190794642;5375,06;5367,44;257,9463088;259,2860683;0;0;2362,59155;124,8154219;0;1315,232378;1210,384133;7;6;12,1453372;13,62624584;4,4186;4,41775;3,5356;3,53474;0,883;0,88297;0,801;0,799325
4;73.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581406,8469;4760513,554;723;723;-0,13;-0,22;0,18;-0,19;0,18;-0,19;0,965287049;1,028449502;3,23769;3,71462;7,324840764;9,868421053;9,868421053;0,134952767;10,2471505;225;224,832;977,88;969,951;54,18445185;53,830785;0,009508404;4,85;5,299666667;0,17111048;9395,51;9390,66;466,8372158;466,3839732;0;0;2210,813839;143,2812686;0;818,0480511;807,7372202;7;7;2,916035103;2,6313039;4,6085;4,63292;3,6872;3,71192;0,9213;0,921019;1,148;1,15181
5;73.2;Upper Palaeolithic/ Epipalaeolithic;Open-air;581427,6042;4760463,144;721;720;-0,02;0,11;0,37;0,11;0,37;0,11;0,962616822;1,031473534;5,11109;5,21707;7,598784195;8,841463415;4,420731707;0,271370421;10,1791799;206,565;202,098;926,35;918,377;51,65025148;51,2565671;0;6,233;6,287833333;0,171167634;9362,96;9362,28;465,1381593;464,8221505;0;0;2252,090473;152,8036838;0;908,5691791;850,6510391;8;8;1,11351972;0,918115774;4,7798;4,79489;3,8599;3,87514;0,9199;0,919752;1,1369;1,13288
6;74.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;581949,5033;4760608,445;716;715;0,58;-0,26;0,29;-0,49;0,29;-0,49;0,97414966;1,033189033;4,22215;5,25746;5,6;10,15625;0,350215517;3,956343793;9,824897474;61,6992;60,4441;1075,29;1087,83;56,71672667;57,27461653;0;12,0085;11,35616667;0,131322451;8866,02;8871,77;440,7363288;440,7749303;0;0;2242,683482;156,0445762;0;1376,771146;70,34981651;0;0;1,469195384;1,401184225;4,2404;4,17618;3,3203;3,2578;0,9202;0,918373;1,1619;1,15397
7;75.1;Upper Palaeolithic/ Epipalaeolithic;Open-air;581344,5748;4760658,856;729;728;-3,27;-1,94;-3,04;-2,13;-3,04;-2,13;0,961741425;1,029661017;7,29772;6,93108;7,949125596;11,23595506;11,23595506;0,133511348;10,00721535;141,34;149,438;1131,92;1120,35;62,52333593;61,88410362;0;9,303333333;8,750666667;0,100959156;9465,53;9476,15;471,6431962;471,4319987;0;0;2275,643746;160,3607552;0;1541,971738;984,0744607;8;8;0;0,352486964;4,8427;4,84317;3,9242;3,92414;0,9184;0,91899;1,0982;1,08798
8;76.1;Upper Palaeolithic/ Epipalaeolithic;Shelter;580099,1337;4759379,808;744;742;2,18;1,35;2,78;1,39;2,78;1,39;0,976377953;1,036211699;9,02895;9,81126;7,457627119;8,415841584;0,300565771;3,703703704;9,369134307;65,8545;61,9343;1386,09;1384,15;75,31171432;75,05861415;0;20,54;20,0125;2,924797543;7909,84;7914,05;403,609731;403,944683;0,008630102;0,314555053;2028,858681;78,40636268;0;11,75895844;4,932380318;8;7;1,200023333;1,117690603;4,0294;3,95309;3,1098;3,03471;0,9195;0,918314;1,1339;1,12063
9;76.2;Upper Palaeolithic/ Epipalaeolithic;Shelter;580091,2261;4759470,745;736;736;-4,16;-1,94;-3,9;-1,99;-3,9;-1,99;0,967148489;1,025069638;9,15982;9,77278;7,363013699;9,295774648;9,295774648;0,132275132;10,05252535;97,125;94,9934;1377,04;1384,05;73,50876533;73,96973847;0,0260074;15,4085;15,74433333;1,785276139;8000,98;7993,72;407,335511;407,280146;2,928584818;0;2359,909303;185,7577092;0;7471,75194;5523,367523;4;5;0,81353972;0,739094973;4,48;4,44548;3,5604;3,52692;0,9196;0,918558;1,0331;1,04826
10;76.3;Upper Palaeolithic/ Epipalaeolithic;Shelter;580091,2261;4759534,005;736;737;-0,73;-0,73;-0,33;-0,33;-0,33;-0,33;0,972258917;1,02364395;9,70519;9,59491;5,819295559;9,747292419;0,443058746;2,925531915;10,19400025;74,7449;77,9173;1375;1382,11;74,19297572;74,55688913;0,002370232;12,54366667;13,364;1,790215401;8046,62;8051,51;410,602171;410,0473107;2,902437281;0;2225,214659;113,2403816;0;518,0076999;347,7139458;6;6;1,166693333;1,122067899;4,1014;4,20903;3,1853;3,29135;0,916;0,917636;1,0973;1,11016
