N0;Name;Chronology;Type;utmx;utmy;ALTA;ALTM;TPI100;TPI100m;TPI500;TPI500m;TPI1000;TPI1000m;ALTrA;ALTrB;SLO;SLOm;SLOga;SLOt;SLOst;SLOpi;INCr45-15;ASP;ASPm;HYDROE;HYDROEm;HYDROC;HYDROCm;HYDROV;WET;WETm;WETv;GEOLE;GEOLEm;GEOLC;GEOLCm;GEOLV;CPFPCGs;CPFPCDs;CPFPCGc;CPFPCDc;VISC;VISZ;VISPR;VISPRm;LCPC;LCPCm;TOTINS;TOTINSm;DIRINS;DIRINSm;DIFINS;DIFINSm;WIND;WINDm
1;Abrigo 29;Epipalaeolithic;Shelter;622782,30;4809869,46;657;656;2,0222;-2,01112;2,4286;-2,15305;1,7755;-2,15305;0,925352113;1,066558442;17,9062;18,1453;14,32926829;16,98113208;16,98113208;0,147058824;8,783072613;248,199;249,513;1350;1351,69;4484,757664;4488,610599;0;338,22;338,31;5721,091178;700;692,397;2220,253064;2224,105999;1574049,728;27171,99584;18946714,19;1850,167067;0;7211807,873;7207488,405;10;9;261,9294124;261,2983231;4,6265;4,59916;3,7439;3,71669;0,8826;0,882468;0,8709;0,868967
2;Arnela I;Epipalaeolithic;Shelter;619444,28;4804139,40;678;680;-3,5556;-3,48335;-5,0408;-3,88265;-5,0408;-3,88265;0,895640687;1,044684129;20,4637;20,6529;22,5;0,633528265;24,07407407;5,270457698;10,59036023;252,051;252,189;75;85,2859;390,0526225;444,1311491;193015,909;1554,41;1527,33;170041,8971;1629,8;1643,97;5487,676757;5478,826043;0;0;19912441,67;4601,625543;0;6582704,325;6262687,193;1;2;611,830684;596,4315168;4,61;4,66763;3,7241;3,78153;0,8859;0,886108;0,9183;0,932434
3;Arnela III;Epipalaeolithic;Shelter;619773,28;4806742,43;748;745;-1,5778;-1,14445;-1,6531;-0,9694;-1,6531;-0,9694;0,96516129;1,059490085;15,8353;13,5459;13,63636364;0,141843972;17,0212766;15,56420233;7,761645178;229,289;231,94;660,019;653,929;2255,127866;2225,504848;2314,069744;1158,16;1116,12;7286,764028;707,107;717,165;2703,79136;2691,709445;0;5479,620609;19907414,72;4263,883156;0;5024535,89;4817033,685;12;12;396,4527691;379,1088827;5,1454;5,01043;4,2385;4,09848;0,9069;0,911987;1,082;1,06862
4;Arnela IX;Epipalaeolithic;Shelter;619104,28;4802855,39;593;593;5,6889;6,8389;5,3265;6,92345;5,3265;6,92345;0,951845907;1,140384615;18,1647;15,4557;15,77335375;1,158616188;18,53785901;2,605863192;8,770359234;97,8831;115,829;25;34,4245;171;201,5048442;864917,4352;774,61;784,53;1107235,767;917,197;915,678;3146,40048;3132,938628;2930900,661;1480,68836;18837475,14;4019,993641;0;34698104,51;22624863,1;26;29;43;68,97134733;4,2994;4,54595;3,4221;3,66345;0,8773;0,882522;0,7943;0,800353
5;Arnela V;Epipalaeolithic;Shelter;619794,28;4804201,40;764;765;1,0444;0,15;-0,8163;0,2449;0,5306;0,2449;0,959798995;1,14200299;6,26442;5,5779;18,73156342;0,33015873;14,85714286;5,784061697;8,107661771;239,931;226,958;425;435,534;1890,157867;1919,204296;255396,7715;666,21;633,51;872942,3932;1566,05;1572,87;5249,894382;5246,044773;1587737,358;5674,572401;22083164,13;3808,839166;0;29139935,23;23749247,73;11;12;49;68,53758126;4,6935;4,70802;3,7679;3,78141;0,9256;0,926617;1,1388;1,13348
6;Arnela VII;Epipalaeolithic;Shelter;619517,28;4804196,40;721;723;12,8889;10,1166;11,7959;10,5459;11,7959;10,5459;0,936363636;1,105828221;26,8491;25,0746;19,06300485;1,041666667;34,375;4,423592493;8,998969212;253,355;255,201;150;158,573;852,0526225;896,7599318;1827374,874;1368,22;1333,43;1685795,837;1676,31;1673,75;5719,811265;5735,706837;586124,812;427,925615;20694656,72;4507,679844;0;42910993,51;52640249,25;23;23;447,4120188;424,3618521;4,63;4,5911;3,7634;3,71587;0,8666;0,875203;1,1096;1,11697
7;As Penas do Carballido;Epipalaeolithic;Shelter;619134,26;4819058,55;671;671;3,3556;2,31113;3,5306;2,45918;3,5918;2,45918;0,96685879;1,084006462;1,81125;3,57763;12;12,14953271;12,14953271;0,148148148;7,67117668;288,435;261,418;1179,25;1186,95;4092,357859;4110,46942;3974,646353;429,95;444,87;1704,867056;1606,43;1609,81;5276,753055;5249,64539;27517,3396;153753,0106;18440382,85;2355,066294;0;9289349,373;7139722,281;15;15;43;49,25248827;4,4046;4,55652;3,4913;3,64451;0,9133;0,912007;1,0426;1,03039
8;Chan da Cruz;Epipalaeolithic;Shelter;619081,26;4813885,50;712;712;3,1111;0,35;3,3061;0,5357;3,3061;0,5357;0,915167095;1,144694534;8,29381;6,82961;23,21428571;26,71009772;26,71009772;0,134228188;9,096160815;354,094;313,624;1147,01;1147,11;3999,209813;4004,91543;63244,38777;2517,27;2542,8;42612,47575;2363,92;2370,55;7551,128408;7533,073286;38334,8868;81814,23428;17487700,34;1942,157134;0;9703993,925;7479090,753;25;25;54,81178318;51,89171442;3,6177;3,78347;2,7033;2,86725;0,9144;0,91622;0,971;0,976526
9;Curro do Oso;Epipalaeolithic;Open-air;619081,26;4813848,50;715;715;0,1346;0,8846;1,4945;2,2445;8,8571;6,6683;0,919023136;1,147672552;3,72995;3,70554;24,40944882;0,750659363;23,27044025;4,155495979;9,135751792;184,399;205,316;1130,54;1134,97;3973,103968;3984,658045;0;2658,66;2642,36;858,742091;2340,14;2335,33;7420,287587;7436,538242;27681,38658;68327,83006;17599507,85;1843,989612;0;4937378,11;1901725,548;10;14;60,81118318;57,10298041;4,8244;4,62476;3,906;3,70587;0,9184;0,918885;0,9285;0,942715
10;Curro Vello 1;Epipalaeolithic;Shelter;620514,28;4811037,47;738;738;2,6154;1,6154;1,8163;1,56632;1,8163;1,56632;0,964705882;1,082111437;5,96026;5,7547;33,46774194;1,128936423;10,16042781;1,19047619;8,804465627;343,301;330,939;1118,03;1115,73;3857,259674;3852,93758;0;272,22;284,46;4944,620135;369,121;363,733;984,8310286;993,9322974;60714,34493;24646,49249;21130338,67;1772,372829;0;6310678,625;6583011,61;15;17;0;15,35279307;3,8653;3,89004;2,9442;2,96865;0,9211;0,921385;1,1758;1,18071
