N,utmx,utmy
1,"622782,3","4809869,46"
2,"619444,28","4804139,4"
3,"619773,28","4806742,43"
4,"619104,28","4802855,39"
5,"619794,28","4804201,4"
6,"619517,28","4804196,4"
7,"619134,26","4819058,55"
8,"619081,26","4813885,5"
9,"619081,26","4813848,5"
10,"620514,28","4811037,47"
11,"620626,28","4811066,47"
12,"620721,28","4810895,47"
13,"619782,27","4811694,48"
14,"620333,28","4811810,48"
15,"620706,28","4811451,47"
16,"620612,28","4811133,47"
17,"620235,28","4810738,47"
18,"619727,27","4811366,47"
19,"619858,27","4811176,47"
20,"620207,28","4811054,47"
21,"601526,11","4799970,34"
22,"601620,1","4806964,4"
23,"619125,26","4819014,55"
24,"619267,26","4820233,56"
25,"602365,27","4801774,9"
26,"620240,28","4810726,47"
27,"602982,1","4812633,46"
28,"603467,13","4798669,33"
29,"603447,13","4798982,33"
30,"605487,15","4799022,33"
31,"622571,3","4809796,46"
32,"621341,29","4809705,46"
33,"621289,29","4809727,46"
34,"621457,29","4809506,46"
